days_pred,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7
2012-06-01,66.55799898115778,0.0,0.0,63.42510023883579,0.0,32.03243081387987,0.0,0.0
2012-06-02,52.23688035626598,0.0,0.0,46.14182032482575,0.0,19.277734256808575,0.0,0.0
2012-06-03,39.77445917068307,0.0,0.0,44.15822073971294,0.0,17.920210781412074,0.0,0.0
2012-06-04,44.31295944238523,0.0,0.0,30.80070761820909,0.0,16.243092781461552,0.0,0.0
2012-06-05,59.916297040341405,0.0,0.0,48.533990811713615,0.0,25.803965146234624,0.0,0.0
2012-06-06,57.34923823011907,0.0,0.0,44.71888376911755,0.0,24.116266072755273,0.0,0.0
2012-06-07,60.27282566411944,0.0,0.0,57.79899557916673,0.0,25.849531722397664,0.0,0.0
2012-06-08,68.67633453785265,0.0,0.0,69.87287209262132,0.0,32.465541371248676,0.0,0.0
2012-06-09,58.29917934866276,0.0,0.0,40.501736078014545,0.0,22.001395390247744,0.0,0.0
2012-06-10,37.01957542455004,0.0,0.0,22.06859028150482,0.0,12.12233623277899,0.0,0.0
2012-06-11,36.4681661930352,0.0,0.0,26.501492143772857,0.0,11.82060584218116,0.0,0.0
2012-06-12,62.05139040593501,0.0,0.0,41.98439479027062,0.0,23.842632844216908,0.0,0.0
2012-06-13,61.80462736730863,0.0,0.0,45.71630701116782,0.0,24.866308034559346,0.0,0.0
2012-06-14,51.173384282051174,0.0,0.0,36.08798071851132,0.0,19.69663081931072,0.0,0.0
2012-06-15,50.69293951490184,0.0,0.0,43.38384001188938,0.0,19.164457459064057,0.0,0.0
2012-06-16,55.296809795212205,0.0,0.0,49.919259925600876,0.0,21.809349188499613,0.0,0.0
2012-06-17,53.239034457862914,0.0,0.0,34.856788492162885,0.0,17.086612757656752,0.0,0.0
2012-06-18,45.80025536224019,0.0,0.0,36.641595765987205,0.0,16.480547931182087,0.0,0.0
2012-06-19,49.5104902367908,0.0,0.0,37.699447169380754,0.0,19.600572141182756,0.0,0.0
2012-06-20,58.19920116935121,0.0,0.0,45.224548680060565,0.0,24.391206688467758,0.0,0.0
2012-06-21,61.59207454449739,0.0,0.0,39.95427943045498,0.0,22.343706364062285,0.0,0.0
2012-06-22,53.41206290655428,0.0,0.0,51.499119946714124,0.0,22.5649893427761,0.0,0.0
2012-06-23,40.43488915672911,0.0,0.0,29.677986394774116,0.0,13.6404250675647,0.0,0.0
2012-06-24,41.76188921472773,0.0,0.0,24.69423471541155,0.0,14.428080690120357,0.0,0.0
2012-06-25,29.098720759442145,0.0,0.0,13.682582146913935,0.0,6.751211581026323,0.0,0.0
2012-06-26,59.24987676315257,0.0,0.0,47.26948937259922,0.0,23.275836726253544,0.0,0.0
2012-06-27,53.058603845402985,0.0,0.0,48.40552335645987,0.0,23.786485119246425,0.0,0.0
2012-06-28,55.475283511062045,0.0,0.0,50.81199443290487,0.0,22.915530061373325,0.0,0.0
2012-06-29,52.46474372205324,0.0,0.0,50.10196000872377,0.0,22.391560008827266,0.0,0.0
2012-06-30,62.85138645526583,0.0,0.0,57.98650331338026,0.0,27.938208081302374,0.0,0.0
2012-07-01,45.7773260564478,0.0,0.0,29.814810452650146,0.0,14.242638207069827,0.0,0.0
2012-07-02,39.448924583867885,0.0,0.0,23.737328498220375,0.0,13.37922982606043,0.0,0.0
