,Start Date,Label,Original Port Type,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
3860,2015-02-10,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,119.876763,0.0,17,-122.11321931407944,37.422,0,17
3861,2015-02-10,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,26.633045999999997,0.0,10,-122.13899999999995,37.445,0,5
3862,2015-02-11,0,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,95.20442000000003,0.0,26,-122.16,37.444,2,12
3863,2015-02-11,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,83.280896,0.0,9,-122.163,37.444,1,4
3864,2015-02-11,2,"['Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,133.518935,0.0,28,-122.162,37.447,4,12
3865,2015-02-11,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,168.764011,0.0,18,-122.11321931407944,37.422,0,18
3866,2015-02-11,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,33.678791000000004,0.0,10,-122.13899999999995,37.445,0,5
3867,2015-02-12,0,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,70.200562,0.0,21,-122.16,37.444,1,10
3868,2015-02-12,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,51.331269,0.0,11,-122.163,37.444,1,5
3869,2015-02-12,2,"['Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,105.186522,0.0,26,-122.162,37.447,4,11
3870,2015-02-12,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,75.466977,0.0,11,-122.11321931407944,37.422,0,11
3871,2015-02-12,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,75.66136,0.0,20,-122.13899999999995,37.445,0,10
3872,2015-02-13,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,101.55635099999998,0.0,20,-122.16,37.444,0,10
3873,2015-02-13,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,37.33345,0.0,10,-122.163,37.444,0,5
3874,2015-02-13,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,83.29981099999999,0.0,21,-122.162,37.447,3,9
3875,2015-02-13,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,59.161874,0.0,11,-122.11321931407944,37.422,0,11
3876,2015-02-13,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,36.273494,0.0,12,-122.13899999999995,37.445,0,6
3877,2015-02-14,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,128.084736,0.0,22,-122.16,37.444,0,11
3878,2015-02-14,1,"['Level 2', 'Level 2', 'Level 2']",0.0,19.305435,0.0,6,-122.163,37.444,0,3
3879,2015-02-14,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,79.39202399999999,0.0,27,-122.162,37.447,1,13
3880,2015-02-14,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,50.497,0.0,8,-122.11321931407944,37.422,0,8
3881,2015-02-14,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,29.659118,0.0,12,-122.13899999999995,37.445,0,6
3882,2015-02-15,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,50.640215000000005,0.0,20,-122.16,37.444,0,10
3883,2015-02-15,1,"['Level 2', 'Level 2', 'Level 2']",0.0,16.129308,0.0,6,-122.163,37.444,0,3
3884,2015-02-15,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,66.372708,0.0,24,-122.162,37.447,0,12
3885,2015-02-15,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,68.96248800000001,0.0,9,-122.11321931407944,37.422,0,9
3886,2015-02-15,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,52.379796,0.0,16,-122.13899999999995,37.445,0,8
3887,2015-02-16,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,104.27116900000001,0.0,16,-122.16,37.444,0,8
3888,2015-02-16,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,27.630392,0.0,16,-122.163,37.444,0,8
3889,2015-02-16,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,92.36302299999998,0.0,22,-122.162,37.447,2,10
3890,2015-02-16,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,67.65117699999999,0.0,7,-122.11321931407944,37.422,0,7
3891,2015-02-16,4,"['Level 2', 'Level 2', 'Level 2']",0.0,26.410190999999998,0.0,6,-122.13899999999995,37.445,0,3
3892,2015-02-17,0,"['Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,76.98498099999999,0.0,22,-122.16,37.444,2,10
3893,2015-02-17,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,52.545950999999995,0.0,10,-122.163,37.444,0,5
3894,2015-02-17,2,"['Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2']",0.0,122.80664399999999,0.0,23,-122.162,37.447,5,9
3895,2015-02-17,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,122.478437,0.0,14,-122.11321931407944,37.422,0,14
3896,2015-02-17,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,38.337396999999996,0.0,10,-122.13899999999995,37.445,0,5
3897,2015-02-18,0,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,124.32403300000001,0.0,21,-122.16,37.444,1,10
3898,2015-02-18,1,"['Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,50.556493,0.0,15,-122.163,37.444,1,7
3899,2015-02-18,2,"['Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2']",0.0,116.47387600000002,0.0,28,-122.162,37.447,4,12
3900,2015-02-18,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,107.797063,0.0,14,-122.11321931407944,37.422,0,14
3901,2015-02-18,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,49.267160000000004,0.0,14,-122.13899999999995,37.445,0,7
