,Label,ar,d,ma,AIC,r^2,RMSE,MAPE,MAE,SMAPE
0,0.0,0.0,0.0,0.0,29463.763406920712,-12.123878344618728,114.470572141557,1.0,110.02301463414636,99.83739837398373
1,0.0,0.0,0.0,1.0,27228.30885396998,-12.10309284264793,114.37988739586727,0.9992483208760721,109.92229340826925,99.83739837398373
2,0.0,0.0,0.0,2.0,26011.369886910954,-12.094549006258534,114.34259076636093,0.9987248920483016,109.86796636876889,99.78854268025341
3,0.0,0.0,0.0,3.0,25441.75850964802,-12.072017508379625,114.24417504221952,0.99608325967161,109.60841979114151,99.58998443058279
4,0.0,0.0,0.0,4.0,24803.396522041927,-12.06513650201818,114.21410247028797,0.9951551891012721,109.54782775140099,99.45715018867551
5,0.0,0.0,0.0,5.0,24485.048770218626,-12.056980719004315,114.17844838994615,0.994651313021029,109.50109697241058,99.38067896277842
6,0.0,0.0,0.0,6.0,24424.224037071748,-12.050488597663014,114.15005926531842,0.9941761780078354,109.44969553346968,99.33280727237457
7,0.0,0.0,0.0,7.0,24351.85095213712,-12.032500506132395,114.07136298736262,0.9948578608957207,109.4660496545403,99.30600086306185
8,0.0,0.0,0.0,8.0,24002.045989933904,-12.040032495624347,114.10432136721428,0.9952334137107159,109.51957765919605,99.3447078493858
9,0.0,0.0,0.0,9.0,23844.58110878901,-12.031892383453531,114.06870155673168,0.9944822916101931,109.45051293947367,99.26947281060849
10,0.0,0.0,1.0,0.0,23665.804907452482,-0.10520496469743423,33.218817532526764,0.34929337979564223,25.873988774525614,12.403789739867877
11,0.0,0.0,1.0,1.0,22655.43966013145,-0.0011221347084251487,31.61595373445459,0.3132827400903639,25.436053924953395,12.326954717978914
12,0.0,0.0,1.0,2.0,22551.744304437947,-4.2150895593229265e-05,31.598895909715147,0.3143599748697715,25.370054556588183,12.294447186354331
13,0.0,0.0,1.0,3.0,22552.650315779654,4.19751679103797e-06,31.59816365276634,0.31446340459753397,25.365433469119285,12.291715517645835
14,0.0,0.0,1.0,4.0,22548.94792630691,9.971698187050126e-05,31.59665449054735,0.31428225890929173,25.368819610023003,12.295286824377643
15,0.0,0.0,1.0,5.0,22544.29240268311,0.0002790544516225735,31.59382084890045,0.3145438049869433,25.3556454191026,12.286978681193293
16,0.0,0.0,1.0,6.0,22513.890872021155,-0.0011613290398342357,31.616572617005122,0.3156765285901971,25.358074617043858,12.26665606035947
17,0.0,0.0,1.0,7.0,22511.78881256676,-0.001760094123575362,31.626025673942305,0.3160307031307548,25.360228266846057,12.266717799343212
18,0.0,0.0,1.0,8.0,22389.46644973162,-0.001478593725530386,31.621581813388154,0.3151004747808035,25.386776099385422,12.265825056793146
19,0.0,0.0,1.0,9.0,22370.68213338669,-0.0024647460211120187,31.637146810408627,0.3149112099875189,25.42359022807853,12.282992563804578
20,0.0,0.0,2.0,0.0,26122.01876411496,-62294.30115608345,7886.6106406657655,71.46937426453363,6836.144985365986,93.58844995006964
21,0.0,0.0,2.0,1.0,23667.13107498223,-0.5792381561427318,39.70878234399758,0.4296431522068445,30.775575863472156,14.095792847520903
22,0.0,0.0,2.0,2.0,22661.33403288978,-0.10525222199256468,33.219527724180566,0.3493918496928579,25.866363266089753,12.381600828817255
23,0.0,0.0,2.0,3.0,22557.560155534375,-0.09557750263401488,33.073816179809604,0.347529697513617,25.756967324731303,12.344840811725087
24,0.0,0.0,2.0,4.0,22558.42726584038,-0.10627566810595246,33.234904544515665,0.34985600617979434,25.86391669813923,12.382082363744164
25,0.0,0.0,2.0,5.0,22554.782623802927,-0.12092294889193456,33.45419899353912,0.352861060852977,26.01268562843676,12.435419069734985
26,0.0,0.0,2.0,6.0,22550.318400131844,-0.08160342835200063,32.86221125030158,0.3444498278188963,25.61838773390784,12.29584329554472
27,0.0,0.0,2.0,7.0,22519.83109719197,-0.10682838718811105,33.24320594378739,0.35003258000550835,25.883089183025405,12.373481120326117
28,0.0,0.0,2.0,8.0,22517.676634396805,-0.13170205332812035,33.614666546682116,0.3552069800723071,26.14234662372767,12.465703336826326
29,0.0,0.0,2.0,9.0,22395.605121616405,-0.009617327877991189,31.74981165825608,0.32448703967123754,25.15124255465038,12.125561267783358
30,0.0,1.0,0.0,0.0,23620.241295935266,-11.530458302896337,111.85263855252964,0.963754719966665,106.36404393333476,94.94817615781864
31,0.0,1.0,0.0,1.0,22668.809678071193,-0.1086851871894805,33.271078430427174,0.3062256349335876,27.188569404333613,13.2129569038434
32,0.0,1.0,0.0,2.0,22565.215094791078,-0.04485694604344048,32.29915589374925,0.3079571084430889,26.278560911178193,12.757158354633695
33,0.0,1.0,0.0,3.0,22566.12836244538,-0.041287594432675156,32.24393987995,0.30820249805383465,26.223845230752815,12.729142618189956
34,0.0,1.0,0.0,4.0,22562.399796830417,-0.05529384039258445,32.46007038147151,0.3073985869937716,26.43206235766088,12.835007485718346
35,0.0,1.0,0.0,5.0,22557.72540783885,-0.06312608557585841,32.580304783467746,0.3072042964626715,26.544086353664397,12.889552389749557
36,0.0,1.0,0.0,6.0,22527.285544433147,-0.0857247514576116,32.924760525130125,0.307243912219266,26.862492601866606,13.028868383291115
37,0.0,1.0,0.0,7.0,22525.161442740107,-0.09983197386359244,33.1379719592178,0.30723605756778655,27.052637287516518,13.124386625706217
38,0.0,1.0,0.0,8.0,22402.949252460174,-0.040709778847484834,32.23499247847181,0.3087684517875646,26.22067746964063,12.69108158505291
39,0.0,1.0,0.0,9.0,22384.192448502265,-0.03776547917114503,32.18936174514565,0.30908742542777423,26.185306518127806,12.671159258033118
40,0.0,1.0,1.0,0.0,23322.001022525896,-0.019187008436687192,31.899927430363352,0.3267997074973944,25.219052655513305,12.18243178363066
41,0.0,1.0,1.0,1.0,22554.828284318035,-2.7459101547000486e-05,31.59866379641099,0.31451275727340683,25.36475830614588,12.290704878299621
42,0.0,1.0,1.0,2.0,22553.037399824665,-1.4642170983680813e-05,31.598461302382567,0.3144290268949953,25.367035546623526,12.292639227398462
43,0.0,1.0,1.0,3.0,22553.72139612027,1.833094729497553e-05,31.597940355815037,0.31445189471833607,25.365438614711298,12.29190508948307
44,0.0,1.0,1.0,4.0,22544.910603108663,0.000125256100620752,31.596250972377774,0.3144404094382418,25.363260202060708,12.29112342916434
45,0.0,1.0,1.0,5.0,22540.87600808916,0.00011979398825312515,31.59633727420636,0.31486396380556847,25.349908435268524,12.280394878226362
46,0.0,1.0,1.0,6.0,22515.405424011064,-0.0012397619134874027,31.617811043823934,0.31572546893932985,25.358353492895386,12.266578920551943
47,0.0,1.0,1.0,7.0,22490.92083950324,-0.00202410498025829,31.6301928713203,0.3161684385678754,25.36053176413836,12.265345937630158
48,0.0,1.0,1.0,8.0,22375.598912951027,-0.0022500114764278933,31.633758186424988,0.3149854807211803,25.41550974642323,12.279871971929493
49,0.0,1.0,1.0,9.0,22372.446276327108,-0.002441579629992585,31.63678125004643,0.3149026367046718,25.422818648165684,12.281735135118177
50,0.0,1.0,2.0,0.0,25026.884739230096,-99130.73952354035,9948.763775848287,90.11728224274655,8623.30153259092,94.65062459305355
51,0.0,1.0,2.0,1.0,23323.939734636377,-0.31921786145179176,36.29284525036381,0.3892376381433883,28.04631886335921,13.146600118288111
52,0.0,1.0,2.0,2.0,22560.679409146374,-0.05106278484109383,32.394932931496896,0.3373577892347416,25.369928379750498,12.211986989557884
53,0.0,1.0,2.0,3.0,793.6734823170333,-20994593.866779536,144782.64445930967,1488.7757031971346,143585.97004824431,99.68246820633404
