,0
2018-04-27,2.6082731407134023
2018-04-28,2.4906840484879678
2018-04-29,2.387962933248343
2018-04-30,2.4119551690842407
2018-05-01,2.498250044438176
2018-05-02,2.560815578788713
2018-05-03,2.5042351476147036
2018-05-04,2.413295437325557
2018-05-05,2.380253918551551
2018-05-06,2.469702912811088
2018-05-07,2.4883247021737365
2018-05-08,2.4298660756147683
2018-05-09,2.429118117977431
2018-05-10,2.4776055885264516
2018-05-11,2.4275697179779847
2018-05-12,2.411780480543318
2018-05-13,2.373154657093095
2018-05-14,2.4299491526140686
2018-05-15,2.4578877266516064
2018-05-16,2.4674553525174083
2018-05-17,2.463106400705112
2018-05-18,2.388766655832772
2018-05-19,2.265143105536232
2018-05-20,2.3162065487636707
2018-05-21,2.4244852190189903
2018-05-22,2.4025886385357107
2018-05-23,2.4037354704396847
2018-05-24,2.3333735895850447
2018-05-25,2.292467357899968
2018-05-26,2.308830496482488
2018-05-27,2.4277285759015035
2018-05-28,2.3953485609760503
2018-05-29,2.3861744616851115
2018-05-30,2.3365354442842516
2018-05-31,2.418827747754494
2018-06-01,2.3927444317740085
2018-06-02,2.3809886629833086
2018-06-03,2.3275633498500077
2018-06-04,2.3534880666374525
2018-06-05,2.419877709623938
2018-06-06,2.4563787557659564
2018-06-07,2.423126539201948
2018-06-08,2.3271615593372905
2018-06-09,2.2853498431312533
2018-06-10,2.2725646959068255
2018-06-11,2.3910439810170865
2018-06-12,2.276532596637889
2018-06-13,2.2977710596488734
2018-06-14,2.280470335791078
2018-06-15,2.3262347670502592
2018-06-16,2.267451308035047
2018-06-17,2.263821021101724
2018-06-18,2.2742700016722677
2018-06-19,2.3571300894351515
2018-06-20,2.37888224606698
2018-06-21,2.396158262204608
2018-06-22,2.3498304073466736
2018-06-23,2.2392023872143234
2018-06-24,2.2641762280927877
2018-06-25,2.3703087132781318
2018-06-26,2.4191211821839125
2018-06-27,2.3475721367686004
2018-06-28,2.2800429790797576
2018-06-29,2.28743290979166
2018-06-30,2.3271229370151416
2018-07-01,2.3257534860536495
