,Label,ar,ma,AIC,r^2,RMSE,MAPE,MAE,SMAPE
83,0.0,8.0,3.0,2074.7015463473977,-0.8097959947526605,0.6064761539851057,0.2128761862951881,0.4734363796446394,10.177430798822035
84,0.0,8.0,4.0,2086.4482769939964,-0.42168646155896505,0.5375276785862996,0.1885183987069949,0.4148139246829013,8.87010715633623
85,0.0,8.0,5.0,2104.048202855252,-0.1883603162998675,0.49144281333792705,0.17401194550057325,0.38269074081839366,8.195240812667206
86,0.0,8.0,6.0,2105.1192562780097,-0.18639790126345002,0.4910368702783355,0.17400706002920935,0.38276292088903024,8.196239052851638
87,0.0,8.0,7.0,2091.0606986203024,-0.1623317189434621,0.48603099171152353,0.17260344757088825,0.3791560716781897,8.11049634078225
88,0.0,8.0,8.0,2101.065101431631,-0.14015498829816098,0.4813720431829078,0.1714232952656994,0.3767256184899215,8.06565496462787
89,0.0,8.0,9.0,2092.311965536583,-0.19673967205802567,0.4931723983956807,0.17461141352859552,0.3838401418409159,8.212985873765986
90,0.0,9.0,0.0,2160.4949797250338,-0.5051273697718035,0.5530769315748599,0.19706303506281866,0.43798955522844735,9.347129425717243
91,0.0,9.0,1.0,2123.6732481177514,-0.3781229178906018,0.5292281001763997,0.18958939629015695,0.4223162345398171,9.017332115986513
92,0.0,9.0,2.0,2094.6288948108,-0.435883460160853,0.5402048943093096,0.19040150652078675,0.4192574421212009,8.957018018463978
93,0.0,9.0,3.0,2097.6363024215643,-0.4565531462056738,0.5440791532871903,0.19223215379345546,0.42478952341491377,9.077454135105187
94,0.0,9.0,4.0,2094.321067078229,-0.39562470727884214,0.5325780250178382,0.188092550173243,0.4140428683243831,8.849351159967812
95,0.0,9.0,5.0,2108.78248297357,-0.19701485152695652,0.49322909540396603,0.17519108048746201,0.38573607487649303,8.258455540519048
96,0.0,9.0,6.0,2108.3827891613655,-0.18206245601314186,0.49013885288510134,0.17372834996217684,0.38197712572194925,8.18144633021066
97,0.0,9.0,7.0,2089.4306898148666,-0.20548475776269415,0.49497102875721516,0.17518942604391693,0.38508209082823014,8.234757834028528
98,0.0,9.0,8.0,2087.053307875818,-0.17104882584982195,0.4878501239226596,0.17310414222129825,0.381391391558073,8.160463788314898
99,0.0,9.0,9.0,2093.3601833515904,-0.16450942245980982,0.48648608387086495,0.17273316250769225,0.38064635504058686,8.148076383698777
100,1.0,0.0,0.0,3975.0438473301892,-0.2098339163572982,0.5149722601254153,0.1428912978013976,0.397197713950412,6.910861209046366
101,1.0,0.0,1.0,3607.357863503321,-1.2540152403810554,0.7029094500240909,0.19663150635000023,0.5486425059609126,9.510692802720184
102,1.0,0.0,2.0,3615.665676569416,-0.725098528569073,0.6149331565242542,0.17282588292792997,0.47644929650971385,8.261467726948245
