Start Date,Label,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
2011-08-19,0.0,3578.016666666667,189.94393200000002,7216.783333333333,119.0,-122.16,37.445,1,59
2011-08-26,0.0,2675.583333333333,147.739003,5868.5166666666655,94.0,-122.16,37.445,0,47
2011-09-02,0.0,3658.95,202.173909,5587.400000000001,120.0,-122.163,37.444,0,60
2011-09-09,0.0,3666.383333333333,213.62760200000002,4189.399999999999,134.0,-122.163,37.444,0,67
2011-09-16,0.0,5973.066666666667,326.24776699999995,7167.866666666665,178.0,-122.163,37.444,2,88
2011-09-23,0.0,4968.86507936508,276.2008025714285,7101.891468253965,162.0,-122.163,37.444,0,81
2011-09-30,0.0,5719.632481610531,311.36082229442513,7713.971539876113,183.0,-122.163,37.444,5,89
2011-10-07,0.0,5970.269105691058,344.3796221341463,8050.736991869918,188.0,-122.163,37.444,0,94
2011-10-14,0.0,7070.866666666668,394.6710579999999,8867.283333333333,234.0,-122.163,37.444,0,117
2011-10-21,0.0,7884.033333333331,480.88699933333334,11089.183333333336,268.0,-122.163,37.444,0,134
2011-10-28,0.0,8037.984253578732,460.6687813599181,12172.62893660532,251.0,-122.163,37.444,1,125
2011-11-04,0.0,7740.282413087935,424.0569113067484,9993.671063394677,251.0,-122.163,37.444,5,123
2011-11-11,0.0,6701.816666666666,370.31869600000005,8951.899999999996,213.0,-122.163,37.444,1,106
2011-11-18,0.0,6981.720037453186,393.72048956741577,9832.31161048689,208.0,-122.163,37.444,0,104
2011-11-25,0.0,6592.849154466007,390.0449749174328,10435.582833957555,230.0,-122.163,37.444,0,115
2011-12-02,0.0,9067.330808080807,472.9514215151517,12855.57222222223,293.0,-122.163,37.444,11,141
2011-12-09,0.0,10990.901300979724,567.0092869361586,16608.785099870885,306.0,-122.163,37.444,18,144
2011-12-16,0.0,7581.065365686943,405.8552810638415,10436.631566795782,258.0,-122.163,37.444,6,126
2011-12-23,0.0,4448.566666666666,248.97553,6068.150000000001,150.0,-122.163,37.444,0,75
2011-12-30,0.0,5273.866666666666,293.9756999999999,8498.850000000002,166.0,-122.163,37.444,0,83
2012-01-06,0.0,5876.866666666666,328.1044780000001,7833.699999999997,199.0,-122.163,37.444,1,99
2012-01-13,0.0,9690.216666666667,527.0280280000002,12902.816666666671,300.0,-122.163,37.444,4,148
2012-01-20,0.0,8810.649999999998,444.05750099999995,13159.51666666667,277.0,-122.163,37.444,11,133
2012-01-27,0.0,6375.916666666666,351.34360999999996,8098.016666666665,218.0,-122.163,37.444,0,109
2012-02-03,0.0,6324.2666666666655,349.052274,8913.233333333337,207.0,-122.163,37.444,1,103
2012-02-10,0.0,9207.559180790964,523.3238867966102,13165.9947740113,322.0,-122.163,37.444,0,161
2012-02-17,0.0,7128.407485875705,399.6548182033898,11926.4052259887,242.0,-122.163,37.444,0,121
2012-02-24,0.0,10270.28333333333,560.0471720000002,16153.333333333336,330.0,-122.163,37.444,6,162
2012-03-02,0.0,10924.766666666665,607.1982559999999,15628.933333333336,353.0,-122.163,37.444,11,171
2012-03-09,0.0,11100.419220945078,600.9637975006385,16329.490017028511,363.0,-122.163,37.444,17,173
2012-03-16,0.0,11889.847445721585,632.2576104993616,16042.626649638152,369.0,-122.163,37.444,9,180
2012-03-23,0.0,12014.316666666671,629.745979,16050.316666666666,353.0,-122.163,37.444,3,175
2012-03-30,0.0,12999.916666666664,721.645893,17980.51666666667,386.0,-122.163,37.444,4,191
2012-04-06,0.0,11013.233333333326,585.26351,14036.666666666668,365.0,-122.163,37.444,9,178
2012-04-13,0.0,12579.849999999997,664.566915,15762.066666666662,370.0,-122.163,37.444,8,181
2012-04-20,0.0,13762.372428385419,722.4969525664067,17151.271940104172,410.0,-122.163,37.444,14,198
2012-04-27,0.0,14271.694238281249,700.2846564335936,17195.244726562505,430.0,-122.163,37.444,14,208
2012-05-04,0.0,16766.766666666663,829.6579369999998,21903.383333333335,509.0,-122.163,37.444,7,251
2012-05-11,0.0,16199.383333333333,775.0732309999999,19975.433333333327,527.0,-122.163,37.444,7,260
2012-05-18,0.0,13531.166666666668,686.87072,16340.100000000004,414.0,-122.163,37.444,6,204
2012-05-25,0.0,13515.883333333328,754.3642880000003,17607.566666666666,445.0,-122.163,37.444,5,220
2012-06-01,0.0,16267.106286043823,906.4491849792394,20571.835121107266,508.0,-122.163,37.444,10,249
2012-06-08,0.0,12533.827047289504,666.1914760207609,15420.298212226062,404.0,-122.163,37.444,8,198
2012-06-15,0.0,14731.683333333336,802.2645259999998,18504.850000000002,455.0,-122.163,37.444,11,222
2012-06-22,0.0,12656.905852417307,652.5603725419849,16809.75267175572,406.0,-122.163,37.444,14,196
2012-06-29,0.0,11467.594147582695,640.8666384580152,14876.430661577611,395.0,-122.163,37.444,1,197
2012-07-06,0.0,13819.883333333335,743.1683720000003,18015.83333333333,440.0,-122.163,37.444,8,216
2012-07-13,0.0,14172.783333333338,788.9533900000001,18205.733333333334,435.0,-122.163,37.444,7,214
2012-07-20,0.0,12372.866666666667,650.4789659999997,17303.233333333334,374.0,-122.163,37.444,2,186
