,ar.L1,ar.L2,ar.L3,ar.L4,ar.L5,ar.L6,ar.L7,ar.L8,ar.L9,ma.L1,ma.L2,ma.L3,ma.L4,ma.L5,ma.L6,ma.L7,ma.L8,ma.L9,sigma2,Label
0,-0.335366750845426,-1.16534533140632,-0.9069716195700677,-0.686247212359502,-1.3414845334595322,-0.3799321565570126,-0.46629775921720673,-0.15146103509467929,,0.8655538455673654,-0.06370553893671982,-0.23873929851576928,0.6938979952636157,-0.7770761859868938,0.036455962148918886,-0.3486159412298291,-0.30679870932390724,,220.50895527107457,2.0
1,-0.3810780651738718,-1.18263212828783,-0.9733556249853355,-0.7336645346679509,-1.373941063769765,-0.4573394896248192,-0.47710547412514287,-0.19241193442333263,,0.8711879421043327,-0.02048182521879155,-0.24296186202596745,0.7036817891694185,-0.7508826979002835,0.013346193164185283,-0.32363704853984065,-0.3398751704664582,,218.88950595814043,2.0
2,-0.03191635689851156,-1.149374871324015,-0.4750516755331342,-0.45148450077653457,-1.1633938912672612,0.09656275651851332,-0.47951064822793993,0.11208090330545373,,1.056773642624332,-0.41268048397294693,-0.1090214391895431,0.7626337432096507,-1.0441743351964172,0.4496581951470531,-0.5772984498704392,-0.05095415478400974,,221.46262413918132,2.0
3,-0.12063871596478618,-1.2251204759229404,-0.6115712526098267,-0.550943571158836,-1.2720988084035376,-0.030031166056818645,-0.556191262319027,0.057897917494983527,,1.082458328280828,-0.378016229080691,-0.12581431592512882,0.7683844871307554,-1.0487746055719898,0.4068048438721321,-0.6118664544906428,-0.12077984973483959,,216.06185691423087,2.0
4,-0.402147657873325,-1.095904895965123,-0.8550376727266307,-0.7297949951677488,-1.18197133734343,-0.4889648335507234,-0.31161528487786777,-0.16201221745464922,,0.736272017746175,-0.04711190939308477,-0.17417066538044781,0.5099167849817448,-0.5132389546092179,-0.17986133593107795,-0.20166720335485536,-0.3255748394581022,,227.45952988488406,2.0
5,-0.43626143359019837,-1.1438431943614087,-0.8940863359665269,-0.7681565350510291,-1.2385627981072946,-0.510467757162935,-0.36418536753571,-0.1474463524390217,,0.7640450952339201,-0.035640642936171085,-0.13658929091175465,0.5218930373891555,-0.5145917523809004,-0.16278634611256135,-0.24213478785699089,-0.30860599398338046,,222.95106241315457,2.0
6,-0.4939912415233442,-1.099644178430922,-0.9015621456001224,-0.8140658760218835,-1.1502626696211409,-0.6222117247745843,-0.2559121054755035,-0.19119872710454486,,0.6732742171634369,-0.009871750763052467,-0.10959751520556105,0.38378500055403525,-0.32750265089747044,-0.34860032100222194,-0.10510738823312003,-0.35177167174806667,,228.64569164384488,2.0
7,0.043753854305779036,-1.1276403890204527,-0.38964164962305126,-0.3943146846823602,-1.12037191482966,0.19156599417415276,-0.4675573171601611,0.1435598046302734,,1.0923817997786123,-0.48870866022545967,-0.09375737384015949,0.7611168058912186,-1.0889030211690889,0.5181664270519045,-0.6034062915577924,-0.01394869976506981,,220.296282250503,2.0
8,-0.45477459608845305,-1.0854611663451006,-0.8502443827430037,-0.7648876504091564,-1.1354753110498432,-0.5503582036066931,-0.2647847525790398,-0.15689215905446693,,0.6946990227172989,-0.06168169885398406,-0.110385736418904,0.40672444866621954,-0.38586243815952603,-0.27135072018085393,-0.15279900603491214,-0.3172561178443228,,227.93212813625962,2.0
9,-0.5038624843787791,-1.1649647097725353,-0.9854056712243184,-0.8749876375664598,-1.2359212478538617,-0.6882112023956448,-0.33757704249511983,-0.2565041071967821,,0.7227316062477004,0.017706477253268044,-0.1297736286292621,0.4208447483411953,-0.3475773060495994,-0.3257625050187893,-0.10764060644741649,-0.40012825755464326,,229.33950733389685,2.0
10,-0.5524274736217296,-1.1651309279771316,-1.003053958284006,-0.8870503562406737,-1.2380069916043936,-0.7146576479156793,-0.330847522945987,-0.23823498098141302,,0.6755270528911627,0.03382884790569812,-0.15892330662626133,0.38669901620986835,-0.3195801003601787,-0.3583232835661612,-0.1073787451036231,-0.3981258414794738,,234.73066410983515,2.0
11,-0.7456083563050382,-0.739428720487367,-0.22222839974956377,-0.41270181869287836,-0.6047653712031841,-0.07389540483540125,0.1682500647936479,0.7203702223786614,,0.08869503463255919,-0.39320216146182596,0.12658547987742674,0.22652954903472985,-0.4281820309840533,-0.20993283327834844,-0.6618732227207307,0.4177298460181332,,252.25682864511242,2.0
12,-0.17370461453077424,-0.9037102320688436,0.013266906970061165,-0.2577624754418587,-0.694229191058098,0.36216645604151065,-0.11255996030710519,0.6354750342497477,,0.7057138458431162,-0.7272452999943326,0.1750675710675276,0.4753813997532812,-0.9221706586987672,0.38383246980756547,-0.7362415446834931,0.3895622074879079,,258.25903942674137,2.0
13,-0.6266978488516212,-0.5178051833329158,0.05435376122177549,-0.148223873965742,-0.35291398005654573,0.19442915016914974,0.38830424941387665,0.8830145319370628,,-0.05422270153052723,-0.5299134694222163,0.0994433454371455,0.23079768705126838,-0.41671562304674953,-0.16566053593946722,-0.5809096784141772,0.5727799889039934,,251.80406668326788,2.0
