,ar.L1,ar.L2,ar.L3,ar.L4,ar.L5,ar.L6,ar.L7,ar.L8,ar.L9,ma.L1,ma.L2,ma.L3,ma.L4,ma.L5,ma.L6,ma.L7,ma.L8,ma.L9,sigma2,Label
0,-0.8107171850134243,-0.7920852470046342,-0.8826873367850177,-0.7697662768289545,-1.1286162619414593,-0.4609013964137001,-0.14673874119730695,0.056170391526105694,,-0.24859906333768897,0.186993736066244,0.09161655608962993,0.2472352985644835,-0.4382225131234857,-0.352016366175393,-0.1196210017942636,241.83552225334157,,241.83552225334157,6.0
1,-0.35150626267173973,0.13023887794447747,-0.20567190925130013,-0.09096480478336935,-0.5487655260045421,0.4058992936005211,0.596004185376393,-0.4437400556756669,,-0.7654176276562004,0.3902585465748588,0.08052477662220184,0.3694566425086843,-0.8475703746158505,-0.3321235830016961,0.6286064946330573,253.82923228170358,,253.82923228170358,6.0
2,-0.4154698238259037,0.08086954478536801,-0.2233801220187236,-0.18278918231714464,-0.4999425754163499,0.257567070948637,0.6239260604597823,-0.3857043317474603,,-0.7631631381975381,0.32344436134240256,0.22013945110277622,0.19365364286631742,-0.6421488957285282,-0.4567541418481258,0.6092978577410056,250.68610374195836,,250.68610374195836,6.0
3,-0.7057884359203399,-0.8521993962843011,-0.8600828031166344,-0.7635559828339978,-1.1260101407346077,-0.42230218357525373,-0.21558795171227024,-0.04651694761006864,,-0.10706062395365103,0.15816604210780325,0.07428444770092602,0.26625632980611813,-0.4533764572061765,-0.29630899032050484,-0.17468843911155849,240.15803303790562,,240.15803303790562,6.0
4,-0.8341888885771083,-0.9073187544363709,-0.9161446768180425,-0.8488331674325542,-1.1845805208288795,-0.530932256919185,-0.22300197470559638,0.0817282659784068,,-0.14319502530396724,0.11767996057182364,0.12405017537920611,0.26593754062196967,-0.4342115346225713,-0.35891281634997546,-0.19168872352015875,239.8997092280741,,239.8997092280741,6.0
5,-0.9833048176286576,-0.9778174749578763,-0.9876451550385174,-0.9517876699951151,-1.253093637520437,-0.6617144240108093,-0.23636849357699422,0.22616377729126125,,-0.18067480985011575,0.06919846866665946,0.1822273313590779,0.26720660320686,-0.39925710659007874,-0.43172837955986043,-0.22729415899568434,239.8031262186274,,239.8031262186274,6.0
6,-0.9309329872001313,-0.9321374274703979,-0.9549327308588931,-0.9037986603572579,-1.2123074557043207,-0.611469572892539,-0.20881955594747584,0.17774365549053867,,-0.18305214398548078,0.09212703961071121,0.15755127575851852,0.2606745891897086,-0.392174310352436,-0.4148675995045536,-0.20608567892945234,238.0273771962561,,238.0273771962561,6.0
7,-1.1340958919035304,-1.0409600514792117,-1.0532870700726191,-1.0478461948501852,-1.330065984347197,-0.776174374355699,-0.24929000210802846,0.36163732277810134,,-0.25386609289479634,0.008804261272648994,0.23745904700294937,0.2717719586868068,-0.4154276404421883,-0.5078402496757353,-0.24052723785838565,239.20481989692954,,239.20481989692954,6.0
8,-1.1575218507023852,-1.0459169241878747,-1.083673629099819,-1.0461016815442057,-1.3483944695618466,-0.8011590593930734,-0.25151941801823846,0.39153029055267374,,-0.25212712126720693,0.0491261556631426,0.21969755793963533,0.28633814439981575,-0.37558344555826934,-0.5080645680060769,-0.256225034484381,237.4688074341048,,237.4688074341048,6.0
9,-1.2815793313041315,-1.1215365555720487,-1.1269853743782237,-1.1333586117502845,-1.423901646365883,-0.8991892430100824,-0.263478420918785,0.5169145573687477,,-0.27506039235749014,-0.021383418722937253,0.27084841287903916,0.3319857605783489,-0.38775544240863247,-0.5938886696251185,-0.25948168394636517,235.46302396982964,,235.46302396982964,6.0
10,-1.2803643275767689,-1.102782367395385,-1.1169793295877077,-1.1261434024439811,-1.4082589829760037,-0.8945436300439994,-0.24375745432866736,0.5123868791132953,,-0.2911171671690064,-0.019478663496676138,0.2699379085106406,0.31264562427282827,-0.3887072650301376,-0.6052187749682363,-0.24618607650475663,234.88882217122483,,234.88882217122483,6.0
11,-1.2434592653523966,-1.1234558509703996,-1.101299592810824,-1.130668880823837,-1.393831225341315,-0.8906958887190821,-0.262788573601977,0.4758815769319235,,-0.24253036702842737,-0.030887165640809372,0.2807670482064184,0.3042069099540074,-0.37806877550844864,-0.5750725453448353,-0.25660182751714494,233.94957214411176,,233.94957214411176,6.0
